home,vis,home_score,vis_score,quarter,time,home_mline,vis_mline,date
DET,NY,12,11,1,6:47,150,-185,2022-03-27
BOS,MIN,,,,,-255,205,2022-03-27
PHO,PHI,,,,,-165,145,2022-03-27
WAS,GS,,,,,220,-275,2022-03-27
NO,LA,,,,,-140,120,2022-03-27
BKN,CHA,,,,,-255,205,2022-03-27
DAL,UTA,,,,,-105,-115,2022-03-27
DET,NY,12,12,1,6:47,160,-200,2022-03-27
DET,NY,12,12,1,6:31,155,-195,2022-03-27
DET,NY,12,12,1,6:12,155,-195,2022-03-27
DET,NY,12,12,1,5:44,165,-210,2022-03-27
DET,NY,12,12,1,5:30,165,-210,2022-03-27
DET,NY,14,15,1,5:14,175,-225,2022-03-27
DET,NY,14,17,1,4:32,210,-280,2022-03-27
DET,NY,14,17,1,4:28,210,-280,2022-03-27
DET,NY,14,18,1,4:22,210,-280,2022-03-27
DET,NY,14,18,1,3:49,215,-290,2022-03-27
DET,NY,14,21,1,3:10,260,-370,2022-03-27
DET,NY,14,24,1,3:08,310,-450,2022-03-27
DET,NY,14,24,1,2:52,340,-500,2022-03-27
DET,NY,14,27,1,2:29,450,-725,2022-03-27
DET,NY,14,27,1,2:07,500,-825,2022-03-27
DET,NY,14,29,1,2:04,550,-950,2022-03-27
DET,NY,16,29,1,1:36,450,-725,2022-03-27
DET,NY,16,29,1,1:22,500,-825,2022-03-27
DET,NY,18,31,1,0:51,500,-825,2022-03-27
DET,NY,18,31,1,0:32,450,-725,2022-03-27
DET,NY,20,31,1,0:31,375,-575,2022-03-27
DET,NY,22,34,1,0:11,400,-625,2022-03-27
DET,NY,22,34,2,12:00,400,-625,2022-03-27
DET,NY,22,34,2,12:00,375,-575,2022-03-27
DET,NY,22,34,2,11:55,375,-575,2022-03-27
DET,NY,22,34,2,11:23,425,-675,2022-03-27
DET,NY,22,36,2,11:09,550,-950,2022-03-27
DET,NY,22,38,2,11:03,600,-1050,2022-03-27
DET,NY,22,38,2,10:31,500,-825,2022-03-27
DET,NY,24,38,2,10:11,475,-775,2022-03-27
DET,NY,25,38,2,10:10,425,-675,2022-03-27
DET,NY,26,38,2,9:39,400,-625,2022-03-27
DET,NY,26,38,2,9:19,450,-725,2022-03-27
DET,NY,26,40,2,8:54,500,-825,2022-03-27
DET,NY,26,40,2,8:41,550,-950,2022-03-27
DET,NY,26,40,2,8:32,600,-1050,2022-03-27
DET,NY,26,40,2,8:22,550,-950,2022-03-27
DET,NY,26,40,2,7:53,600,-1050,2022-03-27
DET,NY,26,42,2,7:39,650,-1150,2022-03-27
DET,NY,26,42,2,7:32,750,-1450,2022-03-27
DET,NY,26,43,2,7:32,750,-1450,2022-03-27
DET,NY,26,45,2,7:22,900,-2000,2022-03-27
DET,NY,26,45,2,7:20,900,-2000,2022-03-27
DET,NY,28,45,2,6:55,850,-1800,2022-03-27
DET,NY,31,45,2,6:29,700,-1300,2022-03-27
DET,NY,31,47,2,6:04,850,-1800,2022-03-27
DET,NY,31,50,2,5:33,1100,-2800,2022-03-27
DET,NY,34,50,2,5:09,800,-1600,2022-03-27
DET,NY,34,51,2,5:09,900,-2000,2022-03-27
DET,NY,34,52,2,4:42,1100,-2800,2022-03-27
DET,NY,36,54,2,4:11,1100,-2800,2022-03-27
DET,NY,36,54,2,3:53,1100,-2800,2022-03-27
DET,NY,39,54,2,3:22,750,-1450,2022-03-27
DET,NY,42,56,2,1:39,700,-1300,2022-03-27
DET,NY,42,56,2,1:39,650,-1150,2022-03-27
DET,NY,42,56,2,1:39,750,-1450,2022-03-27
DET,NY,42,59,2,1:13,900,-2000,2022-03-27
DET,NY,42,59,2,0:55,900,-2000,2022-03-27
DET,NY,43,59,2,0:55,900,-2000,2022-03-27
DET,NY,46,59,2,0:39,700,-1300,2022-03-27
DET,NY,46,59,2,0:24,650,-1150,2022-03-27
DET,NY,46,59,2,0:10,650,-1150,2022-03-27
DET,NY,46,59,2,0:10,600,-1050,2022-03-27
DET,NY,47,59,2,0:02,700,-1300,2022-03-27
DET,NY,47,59,3,12:00,650,-1150,2022-03-27
BKN,CHA,,,,,-260,210,2022-03-27
DET,NY,47,59,3,12:00,500,-825,2022-03-27
DET,NY,47,59,3,12:00,475,-775,2022-03-27
DET,NY,47,59,3,12:00,425,-675,2022-03-27
DET,NY,47,59,3,12:00,450,-725,2022-03-27
DET,NY,47,59,3,11:59,475,-775,2022-03-27
BKN,CHA,,,,,-275,220,2022-03-27
DET,NY,49,59,3,11:26,425,-675,2022-03-27
DET,NY,49,59,3,11:23,500,-825,2022-03-27
DET,NY,49,60,3,11:19,475,-775,2022-03-27
DET,NY,52,60,3,10:40,360,-550,2022-03-27
DET,NY,52,60,3,10:12,360,-550,2022-03-27
DET,NY,54,60,3,9:55,300,-435,2022-03-27
NO,LA,,,,,-150,130,2022-03-27
DET,NY,55,60,3,9:35,270,-385,2022-03-27
DET,NY,55,60,3,9:11,290,-420,2022-03-27
DET,NY,55,61,3,9:09,250,-350,2022-03-27
