home,vis,home_score,vis_score,quarter,time,home_mline,vis_mline
CLE,CHA,,,,,-165.0,145.0
ORL,IND,,,,,115.0,-135.0
PHI,NY,,,,,-550.0,400.0
MIL,MIA,,,,,-190.0,160.0
NO,SAC,,,,,-255.0,205.0
HOU,UTA,,,,,800.0,-1375.0
DEN,OKC,,,,,-1375.0,800.0
PHO,POR,,,,,-600.0,435.0
CLE,CHA,2.0,0.0,1,11:50,-170.0,140.0
ORL,IND,0.0,0.0,1,11:42,110.0,-140.0
CLE,CHA,3.0,0.0,1,11:39,-210.0,165.0
ORL,IND,2.0,2.0,1,11:14,110.0,-140.0
CLE,CHA,3.0,0.0,1,11:26,-220.0,170.0
ORL,IND,4.0,2.0,1,10:42,-115.0,-115.0
PHI,NY,,,,,-525.0,385.0
MIL,MIA,,,,,-170.0,150.0
NO,SAC,,,,,-235.0,190.0
CLE,CHA,5.0,0.0,1,10:47,-245.0,185.0
ORL,IND,6.0,2.0,1,10:35,-120.0,-110.0
CLE,CHA,5.0,3.0,1,10:18,-195.0,155.0
ORL,IND,7.0,4.0,1,10:11,-125.0,-105.0
CLE,CHA,5.0,5.0,1,9:53,-160.0,130.0
ORL,IND,7.0,4.0,1,9:53,-110.0,-120.0
CLE,CHA,5.0,7.0,1,9:51,-175.0,145.0
ORL,IND,7.0,6.0,1,9:20,105.0,-135.0
CLE,CHA,7.0,7.0,1,9:28,-185.0,150.0
ORL,IND,7.0,6.0,1,9:01,100.0,-130.0
CLE,CHA,9.0,7.0,1,8:54,-220.0,170.0
ORL,IND,7.0,6.0,1,9:01,105.0,-135.0
CLE,CHA,9.0,7.0,1,8:41,-265.0,200.0
ORL,IND,11.0,8.0,1,8:31,-105.0,-125.0
CLE,CHA,11.0,10.0,1,8:28,-220.0,170.0
ORL,IND,13.0,8.0,1,8:07,-115.0,-115.0
CLE,CHA,13.0,10.0,1,7:58,-235.0,180.0
ORL,IND,13.0,8.0,1,7:45,-125.0,-105.0
CLE,CHA,13.0,10.0,1,7:49,-210.0,165.0
ORL,IND,16.0,8.0,1,7:28,-140.0,110.0
CLE,CHA,13.0,12.0,1,7:47,-210.0,165.0
CLE,CHA,13.0,12.0,1,7:36,-220.0,170.0
CLE,CHA,13.0,12.0,1,7:24,-220.0,170.0
CLE,CHA,13.0,14.0,1,7:10,-220.0,170.0
CLE,CHA,15.0,14.0,1,6:49,-220.0,170.0
ORL,IND,16.0,8.0,1,7:31,-140.0,110.0
CLE,CHA,15.0,14.0,1,6:35,-265.0,200.0
ORL,IND,16.0,8.0,1,7:11,-135.0,105.0
ORL,IND,16.0,8.0,1,7:07,-140.0,110.0
ORL,IND,18.0,8.0,1,6:48,-150.0,120.0
