home,vis,home_score,vis_score,quarter,time,home_mline,vis_mline,date
MIA,ATL,,,,,-190,160,2022-04-26
MEM,MIN,,,,,-275,220,2022-04-26
MIA,ATL,0,3,1,11:25,-150,120,2022-04-26
MIA,ATL,2,5,1,10:48,-175,145,2022-04-26
MIA,ATL,2,5,1,10:28,-170,140,2022-04-26
MIA,ATL,2,7,1,9:52,-150,120,2022-04-26
MIA,ATL,6,7,1,9:20,-195,155,2022-04-26
MIA,ATL,8,9,1,8:46,-210,165,2022-04-26
MIA,ATL,10,9,1,8:15,-245,185,2022-04-26
MIA,ATL,12,9,1,7:53,-265,200,2022-04-26
MIA,ATL,14,9,1,7:26,-300,220,2022-04-26
MIA,ATL,14,9,1,7:26,-280,210,2022-04-26
MIA,ATL,14,9,1,7:26,-235,180,2022-04-26
MIA,ATL,14,9,1,7:09,-255,190,2022-04-26
MIA,ATL,14,9,1,6:43,-255,190,2022-04-26
MIA,ATL,14,9,1,6:16,-235,180,2022-04-26
MIA,ATL,14,11,1,6:16,-195,155,2022-04-26
MIA,ATL,14,11,1,5:48,-220,170,2022-04-26
MIA,ATL,14,11,1,5:29,-195,155,2022-04-26
MIA,ATL,14,11,1,5:31,-195,155,2022-04-26
MIA,ATL,14,11,1,5:15,-220,170,2022-04-26
MIA,ATL,14,11,1,5:01,-200,160,2022-04-26
MIA,ATL,14,14,1,4:54,-175,145,2022-04-26
MIA,ATL,14,14,1,4:46,-160,130,2022-04-26
MIA,ATL,14,14,1,4:21,-170,140,2022-04-26
MIA,ATL,16,18,1,3:48,-160,130,2022-04-26
MIA,ATL,16,18,1,3:29,-160,130,2022-04-26
MIA,ATL,16,18,1,3:20,-160,130,2022-04-26
MIA,ATL,17,18,1,3:20,-165,135,2022-04-26
MIA,ATL,18,18,1,3:21,-170,140,2022-04-26
MIA,ATL,20,18,1,2:30,-210,165,2022-04-26
MIA,ATL,20,18,1,2:15,-195,155,2022-04-26
MIA,ATL,20,18,1,2:15,-220,170,2022-04-26
MIA,ATL,20,18,1,2:15,-200,160,2022-04-26
MIA,ATL,20,18,1,2:15,-175,145,2022-04-26
MIA,ATL,20,18,1,2:00,-175,145,2022-04-26
MEM,MIN,3,0,1,11:30,-330,240,2022-04-26
MIA,ATL,20,20,1,1:30,-155,125,2022-04-26
MEM,MIN,5,0,1,11:15,-290,215,2022-04-26
MIA,ATL,20,20,1,1:15,-160,130,2022-04-26
MEM,MIN,5,0,1,10:57,-385,270,2022-04-26
MIA,ATL,20,20,1,0:49,-165,135,2022-04-26
MEM,MIN,5,0,1,10:36,-315,230,2022-04-26
MIA,ATL,21,20,1,0:49,-175,145,2022-04-26
MEM,MIN,7,2,1,10:15,-330,240,2022-04-26
MIA,ATL,21,20,1,0:43,-185,150,2022-04-26
MEM,MIN,8,2,1,9:55,-370,260,2022-04-26
MIA,ATL,21,20,1,0:20,-200,160,2022-04-26
MEM,MIN,11,2,1,9:33,-435,300,2022-04-26
MIA,ATL,21,20,1,0:02,-175,145,2022-04-26
MEM,MIN,11,2,1,9:19,-435,300,2022-04-26
MIA,ATL,21,21,1,0:02,-170,140,2022-04-26
MEM,MIN,11,2,1,8:58,-450,310,2022-04-26
MIA,ATL,21,22,2,12:00,-160,130,2022-04-26
MEM,MIN,11,2,1,8:49,-500,340,2022-04-26
MIA,ATL,21,22,2,12:00,-145,115,2022-04-26
MEM,MIN,13,2,1,8:40,-525,350,2022-04-26
MEM,MIN,13,2,1,8:40,-600,385,2022-04-26
MIA,ATL,21,22,2,12:00,-150,120,2022-04-26
MIA,ATL,21,22,2,11:47,-150,120,2022-04-26
MIA,ATL,21,22,2,11:37,-145,115,2022-04-26
MEM,MIN,13,2,1,8:40,-575,375,2022-04-26
MIA,ATL,21,24,2,11:36,-145,115,2022-04-26
MEM,MIN,13,5,1,8:19,-450,310,2022-04-26
MIA,ATL,21,24,2,11:25,-140,110,2022-04-26
MEM,MIN,13,6,1,8:14,-450,310,2022-04-26
MIA,ATL,21,24,2,11:13,-135,105,2022-04-26
MEM,MIN,13,9,1,7:45,-350,250,2022-04-26
MIA,ATL,21,24,2,10:56,-145,115,2022-04-26
MEM,MIN,13,9,1,7:13,-315,230,2022-04-26
MIA,ATL,21,26,2,10:27,-130,100,2022-04-26
MEM,MIN,13,9,1,7:10,-315,230,2022-04-26
MIA,ATL,23,26,2,10:03,-140,110,2022-04-26
MEM,MIN,13,11,1,6:54,-315,230,2022-04-26
MIA,ATL,23,26,2,9:38,-140,110,2022-04-26
MEM,MIN,15,11,1,6:29,-315,230,2022-04-26
MIA,ATL,23,26,2,9:38,-150,120,2022-04-26
MEM,MIN,15,11,1,6:12,-315,230,2022-04-26
MEM,MIN,17,11,1,5:54,-370,260,2022-04-26
MEM,MIN,17,14,1,5:19,-290,215,2022-04-26
MIA,ATL,23,26,2,9:39,-140,110,2022-04-26
MEM,MIN,17,17,1,5:11,-255,190,2022-04-26
MIA,ATL,23,26,2,9:09,-145,115,2022-04-26
MEM,MIN,17,17,1,5:11,-220,170,2022-04-26
MIA,ATL,24,26,2,9:09,-165,135,2022-04-26
MIA,ATL,24,26,2,9:08,-165,135,2022-04-26
MIA,ATL,26,26,2,8:48,-185,150,2022-04-26
MIA,ATL,26,28,2,8:20,-165,135,2022-04-26
MIA,ATL,26,28,2,8:06,-165,135,2022-04-26
MIA,ATL,28,31,2,7:38,-140,110,2022-04-26
MEM,MIN,17,17,1,4:46,-220,170,2022-04-26
MIA,ATL,28,34,2,7:26,-145,115,2022-04-26
MEM,MIN,17,19,1,4:17,-175,145,2022-04-26
MIA,ATL,28,34,2,7:26,-110,-120,2022-04-26
MEM,MIN,17,19,1,4:05,-195,155,2022-04-26
MEM,MIN,17,19,1,3:57,-225,175,2022-04-26
MEM,MIN,18,19,1,3:46,-235,180,2022-04-26
MEM,MIN,18,19,1,3:39,-280,210,2022-04-26
MEM,MIN,20,19,1,3:39,-280,210,2022-04-26
MEM,MIN,22,22,1,3:07,-255,190,2022-04-26
MIA,ATL,28,34,2,7:11,-110,-120,2022-04-26
MEM,MIN,22,22,1,2:36,-280,210,2022-04-26
MIA,ATL,30,34,2,6:42,-120,-110,2022-04-26
MEM,MIN,24,25,1,2:13,-220,170,2022-04-26
MIA,ATL,30,34,2,6:25,-135,105,2022-04-26
MEM,MIN,24,25,1,1:41,-225,175,2022-04-26
