team,ranking,date
ATL,-0.6185918000858333,2015-10-28
CLE,-0.5088914334872439,2015-10-28
NOP,-0.5088914334872439,2015-10-28
CHI,0.5082861762633081,2015-10-28
GSW,0.5082861762633081,2015-10-28
DET,0.6178946507077773,2015-10-28
NOP,-0.798477646893828,2015-10-29
MEM,-0.718142945335349,2015-10-29
ORL,-0.6185918000858333,2015-10-29
HOU,-0.6185918000858333,2015-10-29
MIL,-0.6185918000858333,2015-10-29
PHX,-0.6185918000858333,2015-10-29
SAC,-0.6185918000858333,2015-10-29
LAL,-0.6185918000858333,2015-10-29
ATL,-0.5968588253676336,2015-10-29
BKN,-0.5574622903744922,2015-10-29
PHI,-0.5088914334872439,2015-10-29
CHA,-0.5088914334872439,2015-10-29
IND,-0.5088914334872439,2015-10-29
SAS,-0.5088914334872439,2015-10-29
UTA,-0.4642731325295543,2015-10-29
CLE,0.10930692853324743,2015-10-29
POR,0.4487944987369909,2015-10-29
GSW,0.48962213212962896,2015-10-29
BOS,0.5082861762633081,2015-10-29
MIA,0.5082861762633081,2015-10-29
TOR,0.5082861762633081,2015-10-29
OKC,0.5082861762633081,2015-10-29
WAS,0.6178946507077773,2015-10-29
DEN,0.6178946507077773,2015-10-29
NYK,0.6178946507077773,2015-10-29
DAL,0.6178946507077773,2015-10-29
LAC,0.6178946507077773,2015-10-29
MIN,0.6178946507077773,2015-10-29
CHI,0.9050285962521611,2015-10-29
DET,0.9254966321110137,2015-10-29
IND,-1.0442555182120399,2015-10-30
NOP,-0.798477646893828,2015-10-30
MIL,-0.6680308280838336,2015-10-30
PHX,-0.6503841310690798,2015-10-30
ORL,-0.6185918000858333,2015-10-30
HOU,-0.6185918000858333,2015-10-30
LAL,-0.6185918000858333,2015-10-30
SAC,-0.5924832486721974,2015-10-30
BKN,-0.5574622903744922,2015-10-30
PHI,-0.5088914334872439,2015-10-30
CHA,-0.5088914334872439,2015-10-30
SAS,-0.5088914334872439,2015-10-30
UTA,-0.46003766700135146,2015-10-30
MEM,-0.15670010278506427,2015-10-30
NYK,-0.10036938884981929,2015-10-30
ATL,0.12073238170638377,2015-10-30
CLE,0.1452066777710118,2015-10-30
DAL,0.17636462183041818,2015-10-30
POR,0.4487944987369909,2015-10-30
TOR,0.4758948997930109,2015-10-30
GSW,0.48962213212962896,2015-10-30
BOS,0.5082861762633081,2015-10-30
MIA,0.5082861762633081,2015-10-30
OKC,0.5082861762633081,2015-10-30
WAS,0.6178946507077773,2015-10-30
DEN,0.6178946507077773,2015-10-30
MIN,0.6178946507077773,2015-10-30
CHI,0.9050285962521611,2015-10-30
DET,0.965337913015772,2015-10-30
LAC,1.010601213143977,2015-10-30
PHI,-1.0235756853657476,2015-10-31
IND,-1.021599710511623,2015-10-31
HOU,-0.9911727618353738,2015-10-31
MIL,-0.9871434547849848,2015-10-31
LAL,-0.9853440848161933,2015-10-31
BKN,-0.9618653460805665,2015-10-31
ORL,-0.9390099286278601,2015-10-31
CHA,-0.8666829284208906,2015-10-31
NOP,-0.8089737860488926,2015-10-31
POR,-0.15266231095161387,2015-10-31
SAC,-0.15184628441751424,2015-10-31
MEM,-0.1341124605096323,2015-10-31
NYK,-0.1005435031433871,2015-10-31
BOS,-0.06645785593686512,2015-10-31
PHX,-0.05754486035737166,2015-10-31
SAS,-0.04979636503590307,2015-10-31
MIA,-0.023243163627486324,2015-10-31
DEN,0.05501336499970542,2015-10-31
UTA,0.1370106240834386,2015-10-31
DAL,0.21513781507686627,2015-10-31
ATL,0.40736974365948586,2015-10-31
CLE,0.4991765801788426,2015-10-31
CHI,0.5488893659674746,2015-10-31
GSW,0.8446899144497778,2015-10-31
OKC,0.8848716562465293,2015-10-31
WAS,0.9233968381179825,2015-10-31
TOR,0.9863948683744848,2015-10-31
LAC,1.0384156292029787,2015-10-31
MIN,1.086034597813265,2015-10-31
DET,1.332560428010037,2015-10-31
IND,-1.2851930411139183,2015-11-01
BKN,-1.2031096128463494,2015-11-01
NOP,-1.0444196662715268,2015-11-01
PHI,-1.0029085790856298,2015-11-01
LAL,-0.9971950378918979,2015-11-01
MIL,-0.9841019118440949,2015-11-01
HOU,-0.9798924243476781,2015-11-01
ORL,-0.9712632147439006,2015-11-01
CHA,-0.8641514294477384,2015-11-01
POR,-0.5695682278788081,2015-11-01
SAC,-0.36603647209019324,2015-11-01
BOS,-0.06790862712652604,2015-11-01
SAS,-0.06280664541531696,2015-11-01
MIA,-0.021415288721348347,2015-11-01
DEN,0.05501336499970542,2015-11-01
MEM,0.11099659474667291,2015-11-01
DAL,0.25832550962190254,2015-11-01
WAS,0.3042623351788445,2015-11-01
PHX,0.34701850924300415,2015-11-01
ATL,0.43759460893558727,2015-11-01
UTA,0.4610342118773821,2015-11-01
NYK,0.4728695764501207,2015-11-01
CLE,0.5162618339118998,2015-11-01
CHI,0.5376980812270737,2015-11-01
OKC,0.8820940717153541,2015-11-01
TOR,0.9730083175603906,2015-11-01
GSW,1.073655379832561,2015-11-01
MIN,1.086034597813265,2015-11-01
LAC,1.2301325623576398,2015-11-01
DET,1.3470624194645646,2015-11-01
IND,-1.2791773159627011,2015-11-02
LAL,-1.2685292869708413,2015-11-02
HOU,-1.2236240292414575,2015-11-02
BKN,-1.175652950337912,2015-11-02
ORL,-1.1380419718007482,2015-11-02
MIL,-1.1265406508556646,2015-11-02
CHA,-1.1216982331356649,2015-11-02
NOP,-1.0450467338338414,2015-11-02
PHI,-1.02876715214586,2015-11-02
POR,-0.5666124946253314,2015-11-02
BOS,-0.5007688437648153,2015-11-02
SAC,-0.37946742108497994,2015-11-02
DEN,-0.22058167772316545,2015-11-02
MEM,0.11448004886553811,2015-11-02
MIA,0.21535195500190132,2015-11-02
WAS,0.2872467889874913,2015-11-02
PHX,0.36310964331931084,2015-11-02
SAS,0.40970007521428253,2015-11-02
UTA,0.4609090551301005,2015-11-02
NYK,0.47729893112790406,2015-11-02
CLE,0.5372536682120509,2015-11-02
DAL,0.5403710954662855,2015-11-02
ATL,0.6644564038090583,2015-11-02
CHI,0.6891047805476123,2015-11-02
MIN,1.0520760985954138,2015-11-02
GSW,1.0636733384751118,2015-11-02
TOR,1.0945342250273826,2015-11-02
OKC,1.1447407445701279,2015-11-02
LAC,1.2429556383623306,2015-11-02
DET,1.371179126496555,2015-11-02
BKN,-1.5407126606895254,2015-11-03
LAL,-1.2941162203681962,2015-11-03
IND,-1.289852416595478,2015-11-03
PHI,-1.2667227987225735,2015-11-03
ORL,-1.1595023494011187,2015-11-03
CHA,-1.1240984285508324,2015-11-03
NOP,-1.0015697202384737,2015-11-03
MIL,-0.7088276827096239,2015-11-03
HOU,-0.5703026252651004,2015-11-03
BOS,-0.50000710504516,2015-11-03
SAC,-0.3627732818910914,2015-11-03
DEN,-0.24119141059218166,2015-11-03
MEM,-0.09603063348352806,2015-11-03
POR,-0.0036977587114316534,2015-11-03
NYK,0.09800430154948736,2015-11-03
PHX,0.1890474400266664,2015-11-03
MIA,0.2504371469622724,2015-11-03
WAS,0.286815398019215,2015-11-03
MIN,0.3476413285131897,2015-11-03
UTA,0.44765830297891435,2015-11-03
OKC,0.5196824489282301,2015-11-03
DAL,0.5363543345033362,2015-11-03
ATL,0.6467774864002308,2015-11-03
CHI,0.6865591883524268,2015-11-03
CLE,0.7289329976528697,2015-11-03
SAS,0.763869958113182,2015-11-03
TOR,1.1038007799108858,2015-11-03
GSW,1.29525575470035,2015-11-03
DET,1.37104006427973,2015-11-03
LAC,1.4484278106894537,2015-11-03
LAL,-1.5652493116195438,2015-11-04
BKN,-1.543182576058728,2015-11-04
NOP,-1.3976566551308651,2015-11-04
PHI,-1.2709188570113452,2015-11-04
SAC,-0.7426905878035539,2015-11-04
ORL,-0.7162123463428871,2015-11-04
MIL,-0.6985753469415695,2015-11-04
HOU,-0.5680184003616244,2015-11-04
CHA,-0.5290028623694318,2015-11-04
IND,-0.5198960347420706,2015-11-04
BOS,-0.4836847679940988,2015-11-04
MIA,-0.08566800487515654,2015-11-04
POR,-0.021831065061808416,2015-11-04
DEN,0.03224535047275048,2015-11-04
NYK,0.11238813232346352,2015-11-04
PHX,0.1639194847958831,2015-11-04
DAL,0.19103127417930982,2015-11-04
CHI,0.20077610718479214,2015-11-04
MEM,0.2458266165999666,2015-11-04
WAS,0.311820400384011,2015-11-04
MIN,0.34866890477785684,2015-11-04
UTA,0.4469258156060409,2015-11-04
OKC,0.54999463554354,2015-11-04
DET,0.641032192444764,2015-11-04
CLE,0.7076012046319885,2015-11-04
SAS,0.7655332601245916,2015-11-04
ATL,0.934961825453738,2015-11-04
GSW,1.2881143871669014,2015-11-04
LAC,1.4076476714443493,2015-11-04
TOR,1.442090508532302,2015-11-04
BKN,-1.605964158324924,2015-11-05
LAL,-1.5748959879049937,2015-11-05
PHI,-1.5290552604103196,2015-11-05
NOP,-1.3817943540506283,2015-11-05
ORL,-0.9639748256987892,2015-11-05
SAC,-0.9411168573727886,2015-11-05
BOS,-0.8163597355079868,2015-11-05
CHA,-0.5232390188823571,2015-11-05
MIL,-0.45712433051774953,2015-11-05
HOU,-0.29642869789388626,2015-11-05
IND,-0.24029045968310977,2015-11-05
NYK,-0.0831518301929053,2015-11-05
MIA,-0.05931997829120391,2015-11-05
UTA,-0.03455762779721372,2015-11-05
DEN,0.03245476107922119,2015-11-05
DAL,0.19925457999490193,2015-11-05
CHI,0.2012969618888677,2015-11-05
MEM,0.26922568797973834,2015-11-05
OKC,0.27823911851983224,2015-11-05
PHX,0.3696402604716505,2015-11-05
MIN,0.3715665925042454,2015-11-05
POR,0.3822938743598638,2015-11-05
SAS,0.3939363196211809,2015-11-05
DET,0.6366666370257363,2015-11-05
WAS,0.655119480396207,2015-11-05
CLE,0.9019671096262546,2015-11-05
ATL,0.9932245550490116,2015-11-05
LAC,1.069673755848901,2015-11-05
GSW,1.589773024283699,2015-11-05
TOR,1.6849788189928747,2015-11-05
LAL,-1.6232204885976285,2015-11-06
BKN,-1.6045926532711619,2015-11-06
PHI,-1.5112996140686659,2015-11-06
NOP,-1.3744059231625374,2015-11-06
ORL,-0.9698265196592373,2015-11-06
SAC,-0.9527730378290684,2015-11-06
BOS,-0.8171292340494765,2015-11-06
MIL,-0.4560353655239603,2015-11-06
DEN,-0.349757577198886,2015-11-06
HOU,-0.31230170848217703,2015-11-06
DAL,-0.2365738446575163,2015-11-06
IND,-0.23453441846859405,2015-11-06
NYK,-0.08325615593106775,2015-11-06
MIN,-0.07989005357593464,2015-11-06
CHA,-0.05987535768202765,2015-11-06
OKC,0.00700807759972431,2015-11-06
MEM,0.02647915786488522,2015-11-06
